[367, 101, '0x7f18d0003090', '-1', 13, '73']
[368, 101, '0x7f18d0003098', '0x7f18c8002740', 13, '74']
[369, 101, '0x7f18d0003098', '-1', 13, '84']
[370, 101, '0x1412fb0', '0x7f18c8002748', 13, '85']
[371, 101, '0x7f18d00030f0', '-1', 13, '73']
[372, 101, '0x7f18d00030f8', '0x7f18c8002740', 13, '74']
[373, 101, '0x7f18d00030f8', '-1', 13, '93']
[374, 101, '0x1413160', '0x7f18d0002138', 13, '94']
[375, 101, '0x7f18c8005060', '-1', 13, '73']
[376, 101, '0x7f18c8005068', '0x7f18c8002740', 13, '74']
[377, 101, '0x7f18c8005068', '-1', 13, '84']
[378, 101, '0x14129b0', '0x7f18c8002748', 13, '85']
[379, 101, '0x7f18c80050c0', '-1', 13, '73']
[380, 101, '0x7f18c80050c8', '0x7f18c8002740', 13, '74']
[381, 101, '0x7f18c80050c8', '-1', 13, '93']
[382, 101, '0x1412b00', '0x7f18d0002138', 13, '94']
[383, 101, '0x7f18d0003150', '-1', 13, '73']
[384, 101, '0x7f18c8005120', '-1', 13, '73']
[385, 101, '0x7f18c8005128', '0x7f18c8002740', 13, '74']
[386, 101, '0x7f18c8005128', '-1', 13, '84']
[387, 101, '0x1412c20', '0x7f18c8002748', 13, '85']
[388, 101, '0x7f18c8005180', '-1', 13, '73']
[389, 101, '0x7f18c8005188', '0x7f18c8002740', 13, '74']
[390, 101, '0x7f18c8005188', '-1', 13, '93']
[391, 101, '0x1412920', '0x7f18d0002138', 13, '94']
[392, 101, '0x7f18d0003158', '0x7f18c8002740', 13, '74']
[393, 101, '0x7f18d0003158', '-1', 13, '84']
[394, 101, '0x14130d0', '0x7f18c8002748', 13, '85']
[395, 101, '0x7f18d00031b0', '-1', 13, '73']
[396, 101, '0x7f18d00031b8', '0x7f18c8002740', 13, '74']
[397, 101, '0x7f18d00031b8', '-1', 13, '93']
