Threads: [{'140352945166080': 0, '140352953558784': 1}]
['STORE', '0x7fa668003070', -1, 0, '107']
['STORE', '0x7fa668003078', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6680030d0', -1, 0, '107']
['STORE', '0x7fa6680030d8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003250', -1, 1, '107']
['STORE', '0x7fa670003258', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003130', -1, 0, '107']
['STORE', '0x7fa668003138', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6700032b0', -1, 1, '107']
['STORE', '0x7fa6700032b8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003190', -1, 0, '107']
['STORE', '0x7fa668003198', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6680031f0', -1, 0, '107']
['STORE', '0x7fa6680031f8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003310', -1, 1, '107']
['STORE', '0x7fa670003318', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003250', -1, 0, '107']
['STORE', '0x7fa668003258', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003370', -1, 1, '107']
['STORE', '0x7fa670003378', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680032b0', -1, 0, '107']
['STORE', '0x7fa6680032b8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6700033d0', -1, 1, '107']
['STORE', '0x7fa6700033d8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670003430', -1, 1, '107']
['STORE', '0x7fa670003438', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003310', -1, 0, '107']
['STORE', '0x7fa668003318', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003370', -1, 0, '107']
['STORE', '0x7fa668003378', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6680033d0', -1, 0, '107']
['STORE', '0x7fa6680033d8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003430', -1, 0, '107']
['STORE', '0x7fa668003438', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003490', -1, 1, '107']
['STORE', '0x7fa670003498', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700034f0', -1, 1, '107']
