Threads: [{'139844791846656': 0, '139844800239360': 1, '139844800254592': 2}]
['STORE', '0x7f3020002c98', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180048d0', -1, 0, 'insert_112']
['STORE', '0x7f30180048d4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180048d8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002cf0', -1, 1, 'insert_112']
['STORE', '0x7f3020002cf4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002cf8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3020002d50', -1, 1, 'insert_112']
['STORE', '0x7f3020002d54', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002d58', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004930', -1, 0, 'insert_112']
['STORE', '0x7f3018004934', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004938', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002db0', -1, 1, 'insert_112']
['STORE', '0x7f3020002db4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002db8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004990', -1, 0, 'insert_112']
['STORE', '0x7f3018004994', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004998', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002e10', -1, 1, 'insert_112']
['STORE', '0x7f3020002e14', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002e18', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3020002e70', -1, 1, 'insert_112']
['STORE', '0x7f3020002e74', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002e78', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180049f0', -1, 0, 'insert_112']
['STORE', '0x7f30180049f4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180049f8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3018004a50', -1, 0, 'insert_112']
['STORE', '0x7f3018004a54', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004a58', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002ed0', -1, 1, 'insert_112']
['STORE', '0x7f3020002ed4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002ed8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3020002f30', -1, 1, 'insert_112']
['STORE', '0x7f3020002f34', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002f38', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004ab0', -1, 0, 'insert_112']
['STORE', '0x7f3018004ab4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004ab8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002f90', -1, 1, 'insert_112']
