Threads: [{'139883958915712': 0, '139883958900480': 1, '139883950507776': 2}]
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3940004db0', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3940004db8', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3938000e30', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x7f39380012b0', -1, 2, 'createNode_76']
['STORE', '0x7f39380012b8', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938001258', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3938000e30', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3938000e38', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x7f3938001310', -1, 2, 'createNode_76']
['STORE', '0x7f3938001318', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f39380012b8', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3938000e90', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3938000e90', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3938000e98', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x7f3938001370', -1, 2, 'createNode_76']
['STORE', '0x7f3938001378', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938001318', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3940004e10', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3940004e10', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3940004e18', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x7f39380013d0', -1, 2, 'createNode_76']
['STORE', '0x7f39380013d8', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938001378', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3940004e70', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x7f3938001430', -1, 2, 'createNode_76']
['STORE', '0x7f3938001438', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f39380013d8', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3940004e70', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3940004e78', '0x7f3940003c58', 1, 'dequeue_124']
