Threads: [{'140229832783936': 0, '140229730092800': 1, '140229704914688': 2, '140229755270912': 3}]
[101, "'0x7f89c4bf6c99'", "'0x7f89c4bf6bd9'", 3, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c96'", "'0x7f89c4bf6bd6'", 3, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c90'", "'0x7f89c4bf6bd0'", 3, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c98'", "'0x7f89c4bf6bd8'", 3, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c98'", "'0x7f89c4bf6bd8'", 3, 'item_link_q_444']
[101, "'0x7f89c4bf6c94'", "'0x7f89c4bf6bd4'", 3, 'do_item_link_542']
[101, "'0x7f89c4bf6c94'", '-1', 3, 'do_item_link_542']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_store_item_2950']
[101, "'0x7f89c4bf6ca0'", "'0x7f89c4bf6be0'", 3, 'do_store_item_2950']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_store_item_2962']
[101, "'0x7f89c4bf6ca0'", "'0x7f89c4bf6be0'", 3, 'do_store_item_2962']
[101, "'0x7f89c4bf6c18'", "'0x7f89c4bf6c18'", 2, 'lru_pull_tail_1161']
[101, "'0x7f89c4bf6c30'", "'0x7f89c4bf6bd0'", 2, 'lru_pull_tail_1162']
